Summary_Level,State_Code_FIPS,County_Code_FIPS,Area_Name
050,08,041,El Paso County
050,08,043,Fremont County
050,08,045,Garfield County
050,08,047,Gilpin County
050,08,049,Grand County
050,08,051,Gunnison County
050,08,053,Hinsdale County
050,08,055,Huerfano County
050,08,057,Jackson County
050,08,059,Jefferson County
050,08,061,Kiowa County
050,08,063,Kit Carson County
050,08,065,Lake County
050,08,067,La Plata County
050,08,069,Larimer County
050,08,071,Las Animas County
050,08,073,Lincoln County
050,08,075,Logan County
050,08,077,Mesa County
050,08,079,Mineral County
050,08,081,Moffat County
050,08,083,Montezuma County
050,08,085,Montrose County
050,08,087,Morgan County
050,08,089,Otero County
050,08,091,Ouray County
050,08,093,Park County
050,08,095,Phillips County
050,08,097,Pitkin County
050,08,099,Prowers County
050,08,101,Pueblo County
050,08,103,Rio Blanco County
050,08,105,Rio Grande County
050,08,107,Routt County
050,08,109,Saguache County
050,08,111,San Juan County
050,08,113,San Miguel County
050,08,115,Sedgwick County
050,08,117,Summit County
050,08,119,Teller County
050,08,121,Washington County
050,08,123,Weld County
050,08,125,Yuma County
040,09,000,Connecticut
050,09,001,Fairfield County
050,09,003,Hartford County
050,09,005,Litchfield County
050,09,007,Middlesex County
050,09,009,New Haven County
050,09,011,New London County
050,09,013,Tolland County
050,09,015,Windham County
040,10,000,Delaware
050,10,001,Kent County
050,10,003,New Castle County
050,10,005,Sussex County
040,11,000,District of Columbia
050,11,001,District of Columbia
040,12,000,Florida
050,12,001,Alachua County
050,12,003,Baker County
050,12,005,Bay County
050,12,007,Bradford County
050,12,009,Brevard County
050,12,011,Broward County
050,12,013,Calhoun County
050,12,015,Charlotte County
050,12,017,Citrus County
050,12,019,Clay County
050,12,021,Collier County
050,12,023,Columbia County
050,12,027,DeSoto County
050,12,029,Dixie County
050,12,031,Duval County
050,12,033,Escambia County
050,12,035,Flagler County
050,12,037,Franklin County
050,12,039,Gadsden County
050,12,041,Gilchrist County
050,12,043,Glades County
050,12,045,Gulf County
050,12,047,Hamilton County
050,12,049,Hardee County
050,12,051,Hendry County
050,12,053,Hernando County
050,12,055,Highlands County
050,12,057,Hillsborough County
050,12,059,Holmes County
050,12,061,Indian River County
050,12,063,Jackson County
050,12,065,Jefferson County
050,12,067,Lafayette County
050,12,069,Lake County
050,12,071,Lee County
050,12,073,Leon County
050,12,075,Levy County
050,12,077,Liberty County
050,12,079,Madison County
050,12,081,Manatee County
050,12,083,Marion County
050,12,085,Martin County
050,12,086,Miami-Dade County
050,12,087,Monroe County
050,12,089,Nassau County
050,12,091,Okaloosa County
050,12,093,Okeechobee County
050,12,095,Orange County
050,12,097,Osceola County
050,12,099,Palm Beach County
050,12,101,Pasco County
050,12,103,Pinellas County
050,12,105,Polk County
050,12,107,Putnam County
050,12,109,St. Johns County
050,12,111,St. Lucie County
050,12,113,Santa Rosa County
050,12,115,Sarasota County
050,12,117,Seminole County
050,12,119,Sumter County
050,12,121,Suwannee County
050,12,123,Taylor County
050,12,125,Union County
050,12,127,Volusia County
050,12,129,Wakulla County
050,12,131,Walton County
050,12,133,Washington County
040,13,000,Georgia
050,13,001,Appling County
050,13,003,Atkinson County
050,13,005,Bacon County
050,13,007,Baker County
050,13,009,Baldwin County
050,13,011,Banks County
050,13,013,Barrow County
050,13,015,Bartow County
050,13,017,Ben Hill County
050,13,019,Berrien County
050,13,021,Bibb County
050,13,023,Bleckley County
050,13,025,Brantley County
050,13,027,Brooks County
050,13,029,Bryan County
050,13,031,Bulloch County
050,13,033,Burke County
050,13,035,Butts County
050,13,037,Calhoun County
050,13,039,Camden County
050,13,043,Candler County
050,13,045,Carroll County
050,13,047,Catoosa County
050,13,049,Charlton County
050,13,051,Chatham County
050,13,053,Chattahoochee County
050,13,055,Chattooga County
050,13,057,Cherokee County
050,13,059,Clarke County
050,13,061,Clay County
050,13,063,Clayton County
050,13,065,Clinch County
050,13,067,Cobb County
050,13,069,Coffee County
050,13,071,Colquitt County
050,13,073,Columbia County
050,13,075,Cook County
050,13,077,Coweta County
050,13,079,Crawford County
050,13,081,Crisp County
050,13,083,Dade County
050,13,085,Dawson County
050,13,087,Decatur County
050,13,089,DeKalb County
050,13,091,Dodge County
050,13,093,Dooly County
050,13,095,Dougherty County
050,13,097,Douglas County
050,13,099,Early County
050,13,101,Echols County
050,13,103,Effingham County
050,13,105,Elbert County
050,13,107,Emanuel County
050,13,109,Evans County
050,13,111,Fannin County
050,13,113,Fayette County
050,13,115,Floyd County
050,13,117,Forsyth County
050,13,119,Franklin County
050,13,121,Fulton County
050,13,123,Gilmer County
050,13,125,Glascock County
050,13,127,Glynn County
050,13,129,Gordon County
050,13,131,Grady County
050,13,133,Greene County
050,13,135,Gwinnett County
050,13,137,Habersham County
050,13,139,Hall County
050,13,141,Hancock County
050,13,143,Haralson County
050,13,145,Harris County
050,13,147,Hart County
050,13,149,Heard County
050,13,151,Henry County
050,13,153,Houston County
050,13,155,Irwin County
050,13,157,Jackson County
050,13,159,Jasper County
050,13,161,Jeff Davis County
050,13,163,Jefferson County
050,13,165,Jenkins County
050,13,167,Johnson County
050,13,169,Jones County
050,13,171,Lamar County
050,13,173,Lanier County
050,13,175,Laurens County
050,13,177,Lee County
050,13,179,Liberty County
050,13,181,Lincoln County
050,13,183,Long County
050,13,185,Lowndes County
050,13,187,Lumpkin County
050,13,189,McDuffie County
050,13,191,McIntosh County
050,13,193,Macon County
050,13,195,Madison County
050,13,197,Marion County
050,13,199,Meriwether County
050,13,201,Miller County
050,13,205,Mitchell County
050,13,207,Monroe County
050,13,209,Montgomery County
050,13,211,Morgan County
050,13,213,Murray County
050,13,215,Muscogee County
050,13,217,Newton County
050,13,219,Oconee County
050,13,221,Oglethorpe County
050,13,223,Paulding County
050,13,225,Peach County
050,13,227,Pickens County
050,13,229,Pierce County
050,13,231,Pike County
050,13,233,Polk County
050,13,235,Pulaski County
050,13,237,Putnam County
050,13,239,Quitman County
050,13,241,Rabun County
050,13,243,Randolph County
050,13,245,Richmond County
050,13,247,Rockdale County
050,13,249,Schley County
050,13,251,Screven County
050,13,253,Seminole County
050,13,255,Spalding County
050,13,257,Stephens County
050,13,259,Stewart County
050,13,261,Sumter County
050,13,263,Talbot County
050,13,265,Taliaferro County
050,13,267,Tattnall County
050,13,269,Taylor County
050,13,271,Telfair County
050,13,273,Terrell County
050,13,275,Thomas County
050,13,277,Tift County
050,13,279,Toombs County
050,13,281,Towns County
050,13,283,Treutlen County
050,13,285,Troup County
050,13,287,Turner County
050,13,289,Twiggs County
050,13,291,Union County
050,13,293,Upson County
050,13,295,Walker County
050,13,297,Walton County
050,13,299,Ware County
050,13,301,Warren County
050,13,303,Washington County
050,13,305,Wayne County
050,13,307,Webster County
050,13,309,Wheeler County
050,13,311,White County
050,13,313,Whitfield County
050,13,315,Wilcox County
050,13,317,Wilkes County
050,13,319,Wilkinson County
050,13,321,Worth County
040,15,000,Hawaii
050,15,001,Hawaii County
050,15,003,Honolulu County
050,15,005,Kalawao County
050,15,007,Kauai County
050,15,009,Maui County
040,16,000,Idaho
050,16,001,Ada County
050,16,003,Adams County
050,16,005,Bannock County
050,16,007,Bear Lake County
050,16,009,Benewah County
050,16,011,Bingham County
050,16,013,Blaine County
050,16,015,Boise County
050,16,017,Bonner County
050,16,019,Bonneville County
050,16,021,Boundary County
050,16,023,Butte County
050,16,025,Camas County
050,16,027,Canyon County
050,16,029,Caribou County
050,16,031,Cassia County
050,16,033,Clark County
050,16,035,Clearwater County
050,16,037,Custer County
050,16,039,Elmore County
050,16,041,Franklin County
050,16,043,Fremont County
050,16,045,Gem County
050,16,047,Gooding County
050,16,049,Idaho County
050,16,051,Jefferson County
050,16,053,Jerome County
050,16,055,Kootenai County
050,16,057,Latah County
050,16,059,Lemhi County
050,16,061,Lewis County
050,16,063,Lincoln County
050,16,065,Madison County
050,16,067,Minidoka County
050,16,069,Nez Perce County
050,16,071,Oneida County
050,16,073,Owyhee County
050,16,075,Payette County
050,16,077,Power County
050,16,079,Shoshone County
050,16,081,Teton County
050,16,083,Twin Falls County
050,16,085,Valley County
050,16,087,Washington County
040,17,000,Illinois
050,17,001,Adams County
050,17,003,Alexander County
050,17,005,Bond County
050,17,007,Boone County
050,17,009,Brown County
050,17,011,Bureau County
050,17,013,Calhoun County
050,17,015,Carroll County
050,17,017,Cass County
050,17,019,Champaign County
050,17,021,Christian County
050,17,023,Clark County
050,17,025,Clay County
050,17,027,Clinton County
050,17,029,Coles County
050,17,031,Cook County
050,17,033,Crawford County
050,17,035,Cumberland County
050,17,037,DeKalb County
050,17,039,De Witt County
050,17,041,Douglas County
050,17,043,DuPage County
050,17,045,Edgar County
050,17,047,Edwards County
050,17,049,Effingham County
050,17,051,Fayette County
050,17,053,Ford County
050,17,055,Franklin County
050,17,057,Fulton County
050,17,059,Gallatin County
050,17,061,Greene County
050,17,063,Grundy County
050,17,065,Hamilton County
050,17,067,Hancock County
050,17,069,Hardin County
050,17,071,Henderson County
050,17,073,Henry County
050,17,075,Iroquois County
050,17,077,Jackson County
050,17,079,Jasper County
050,17,081,Jefferson County
050,17,083,Jersey County
050,17,085,Jo Daviess County
050,17,087,Johnson County
050,17,089,Kane County
050,17,091,Kankakee County
050,17,093,Kendall County
050,17,095,Knox County
050,17,097,Lake County
050,17,099,LaSalle County
050,17,101,Lawrence County
050,17,103,Lee County
050,17,105,Livingston County
050,17,107,Logan County
050,17,109,McDonough County
050,17,111,McHenry County
050,17,113,McLean County
050,17,115,Macon County
050,17,117,Macoupin County
050,17,119,Madison County
050,17,121,Marion County
050,17,123,Marshall County
050,17,125,Mason County
050,17,127,Massac County
050,17,129,Menard County
050,17,131,Mercer County
050,17,133,Monroe County
050,17,135,Montgomery County
050,17,137,Morgan County
050,17,139,Moultrie County
050,17,141,Ogle County
050,17,143,Peoria County
050,17,145,Perry County
050,17,147,Piatt County
050,17,149,Pike County
050,17,151,Pope County
050,17,153,Pulaski County
050,17,155,Putnam County
050,17,157,Randolph County
050,17,159,Richland County
050,17,161,Rock Island County
050,17,163,St. Clair County
050,17,165,Saline County
050,17,167,Sangamon County
050,17,169,Schuyler County
050,17,171,Scott County
050,17,173,Shelby County
050,17,175,Stark County
050,17,177,Stephenson County
050,17,179,Tazewell County
050,17,181,Union County
050,17,183,Vermilion County
050,17,185,Wabash County
050,17,187,Warren County
050,17,189,Washington County
050,17,191,Wayne County
050,17,193,White County
050,17,195,Whiteside County
050,17,197,Will County
050,17,199,Williamson County
050,17,201,Winnebago County
050,17,203,Woodford County
040,18,000,Indiana
050,18,001,Adams County
050,18,003,Allen County
050,18,005,Bartholomew County
050,18,007,Benton County
050,18,009,Blackford County
050,18,011,Boone County
050,18,013,Brown County
050,18,015,Carroll County
050,18,017,Cass County
050,18,019,Clark County
050,18,021,Clay County
050,18,023,Clinton County
050,18,025,Crawford County
050,18,027,Daviess County
050,18,029,Dearborn County
050,18,031,Decatur County
050,18,033,DeKalb County
050,18,035,Delaware County
050,18,037,Dubois County
050,18,039,Elkhart County
050,18,041,Fayette County
050,18,043,Floyd County
050,18,045,Fountain County
050,18,047,Franklin County
050,18,049,Fulton County
050,18,051,Gibson County
050,18,053,Grant County
050,18,055,Greene County
050,18,057,Hamilton County
050,18,059,Hancock County
050,18,061,Harrison County
050,18,063,Hendricks County
050,18,065,Henry County
050,18,067,Howard County
050,18,069,Huntington County
050,18,071,Jackson County
050,18,073,Jasper County
050,18,075,Jay County
050,18,077,Jefferson County
050,18,079,Jennings County
050,18,081,Johnson County
050,18,083,Knox County
050,18,085,Kosciusko County
050,18,087,LaGrange County
050,18,089,Lake County
050,18,091,LaPorte County
050,18,093,Lawrence County
050,18,095,Madison County
050,18,097,Marion County
050,18,099,Marshall County
050,18,101,Martin County
050,18,103,Miami County
050,18,105,Monroe County
050,18,107,Montgomery County
050,18,109,Morgan County
050,18,111,Newton County
050,18,113,Noble County
050,18,115,Ohio County
050,18,117,Orange County
050,18,119,Owen County
050,18,121,Parke County
050,18,123,Perry County
050,18,125,Pike County
050,18,127,Porter County
050,18,129,Posey County
050,18,131,Pulaski County
050,18,133,Putnam County
050,18,135,Randolph County
050,18,137,Ripley County
050,18,139,Rush County
050,18,141,St. Joseph County
050,18,143,Scott County
050,18,145,Shelby County
050,18,147,Spencer County
050,18,149,Starke County
050,18,151,Steuben County
050,18,153,Sullivan County
050,18,155,Switzerland County
050,18,157,Tippecanoe County
050,18,159,Tipton County
050,18,161,Union County
050,18,163,Vanderburgh County
050,18,165,Vermillion County
050,18,167,Vigo County
050,18,169,Wabash County
050,18,171,Warren County
050,18,173,Warrick County
050,18,175,Washington County
050,18,177,Wayne County
050,18,179,Wells County
050,18,181,White County
050,18,183,Whitley County
040,19,000,Iowa
050,19,001,Adair County
050,19,003,Adams County
050,19,005,Allamakee County
050,19,007,Appanoose County
050,19,009,Audubon County
050,19,011,Benton County
050,19,013,Black Hawk County
050,19,015,Boone County
050,19,017,Bremer County
050,19,019,Buchanan County
050,19,021,Buena Vista County
050,19,023,Butler County
050,19,025,Calhoun County
050,19,027,Carroll County
050,19,029,Cass County
050,19,031,Cedar County
050,19,033,Cerro Gordo County
050,19,035,Cherokee County
050,19,037,Chickasaw County
050,19,039,Clarke County
050,19,041,Clay County
050,19,043,Clayton County
050,19,045,Clinton County
050,19,047,Crawford County
050,19,049,Dallas County
050,19,051,Davis County
050,19,053,Decatur County
050,19,055,Delaware County
050,19,057,Des Moines County
050,19,059,Dickinson County
050,19,061,Dubuque County
050,19,063,Emmet County
050,19,065,Fayette County
050,19,067,Floyd County
050,19,069,Franklin County
050,19,071,Fremont County
050,19,073,Greene County
050,19,075,Grundy County
050,19,077,Guthrie County
050,19,079,Hamilton County
050,19,081,Hancock County
050,19,083,Hardin County
050,19,085,Harrison County
050,19,087,Henry County
050,19,089,Howard County
050,19,091,Humboldt County
050,19,093,Ida County
050,19,095,Iowa County
050,19,097,Jackson County
050,19,099,Jasper County
050,19,101,Jefferson County
050,19,103,Johnson County
050,19,105,Jones County
050,19,107,Keokuk County
050,19,109,Kossuth County
050,19,111,Lee County
050,19,113,Linn County
050,19,115,Louisa County
050,19,117,Lucas County
050,19,119,Lyon County
050,19,121,Madison County
050,19,123,Mahaska County
050,19,125,Marion County
050,19,127,Marshall County
050,19,129,Mills County
050,19,131,Mitchell County
050,19,133,Monona County
050,19,135,Monroe County
050,19,137,Montgomery County
050,19,139,Muscatine County
050,19,141,O'Brien County
050,19,143,Osceola County
050,19,145,Page County
050,19,147,Palo Alto County
050,19,149,Plymouth County
050,19,151,Pocahontas County
050,19,153,Polk County
050,19,155,Pottawattamie County
050,19,157,Poweshiek County
050,19,159,Ringgold County
050,19,161,Sac County
050,19,163,Scott County
050,19,165,Shelby County
050,19,167,Sioux County
050,19,169,Story County
050,19,171,Tama County
050,19,173,Taylor County
050,19,175,Union County
050,19,177,Van Buren County
050,19,179,Wapello County
050,19,181,Warren County
050,19,183,Washington County
050,19,185,Wayne County
050,19,187,Webster County
050,19,189,Winnebago County
050,19,191,Winneshiek County
050,19,193,Woodbury County
050,19,195,Worth County
050,19,197,Wright County
040,20,000,Kansas
050,20,001,Allen County
050,20,003,Anderson County
050,20,005,Atchison County
050,20,007,Barber County
050,20,009,Barton County
050,20,011,Bourbon County
050,20,013,Brown County
050,20,015,Butler County
050,20,017,Chase County
050,20,019,Chautauqua County
050,20,021,Cherokee County
050,20,023,Cheyenne County
050,20,025,Clark County
050,20,027,Clay County
050,20,029,Cloud County
050,20,031,Coffey County
050,20,033,Comanche County
050,20,035,Cowley County
050,20,037,Crawford County
050,20,039,Decatur County
050,20,041,Dickinson County
050,20,043,Doniphan County
050,20,045,Douglas County
050,20,047,Edwards County
050,20,049,Elk County
050,20,051,Ellis County
050,20,053,Ellsworth County
050,20,055,Finney County
050,20,057,Ford County
050,20,059,Franklin County
050,20,061,Geary County
050,20,063,Gove County
050,20,065,Graham County
050,20,067,Grant County
050,20,069,Gray County
050,20,071,Greeley County
050,20,073,Greenwood County
050,20,075,Hamilton County
050,20,077,Harper County
050,20,079,Harvey County
050,20,081,Haskell County
050,20,083,Hodgeman County
050,20,085,Jackson County
050,20,087,Jefferson County
050,20,089,Jewell County
050,20,091,Johnson County
050,20,093,Kearny County
050,20,095,Kingman County
050,20,097,Kiowa County
050,20,099,Labette County
050,20,101,Lane County
050,20,103,Leavenworth County
050,20,105,Lincoln County
050,20,107,Linn County
050,20,109,Logan County
050,20,111,Lyon County
050,20,113,McPherson County
050,20,115,Marion County
050,20,117,Marshall County
050,20,119,Meade County
050,20,121,Miami County
050,20,123,Mitchell County
050,20,125,Montgomery County
050,20,127,Morris County
050,20,129,Morton County
050,20,131,Nemaha County
050,20,133,Neosho County
050,20,135,Ness County
050,20,137,Norton County
050,20,139,Osage County
050,20,141,Osborne County
050,20,143,Ottawa County
050,20,145,Pawnee County
050,20,147,Phillips County
050,20,149,Pottawatomie County
050,20,151,Pratt County
050,20,153,Rawlins County
050,20,155,Reno County
050,20,157,Republic County
050,20,159,Rice County
050,20,161,Riley County
050,20,163,Rooks County
050,20,165,Rush County
050,20,167,Russell County
050,20,169,Saline County
050,20,171,Scott County
050,20,173,Sedgwick County
050,20,175,Seward County
050,20,177,Shawnee County
050,20,179,Sheridan County
050,20,181,Sherman County
050,20,183,Smith County
050,20,185,Stafford County
050,20,187,Stanton County
050,20,189,Stevens County
050,20,191,Sumner County
050,20,193,Thomas County
050,20,195,Trego County
050,20,197,Wabaunsee County
050,20,199,Wallace County
050,20,201,Washington County
050,20,203,Wichita County
050,20,205,Wilson County
050,20,207,Woodson County
050,20,209,Wyandotte County
040,21,000,Kentucky
050,21,001,Adair County
050,21,003,Allen County
050,21,005,Anderson County
050,21,007,Ballard County
050,21,009,Barren County
050,21,011,Bath County
050,21,013,Bell County
050,21,015,Boone County
050,21,017,Bourbon County
050,21,019,Boyd County
050,21,021,Boyle County
050,21,023,Bracken County
050,21,025,Breathitt County
050,21,027,Breckinridge County
050,21,029,Bullitt County
050,21,031,Butler County
050,21,033,Caldwell County
050,21,035,Calloway County
050,21,037,Campbell County
050,21,039,Carlisle County
050,21,041,Carroll County
050,21,043,Carter County
050,21,045,Casey County
050,21,047,Christian County
050,21,049,Clark County
050,21,051,Clay County
050,21,053,Clinton County
050,21,055,Crittenden County
050,21,057,Cumberland County
050,21,059,Daviess County
050,21,061,Edmonson County
050,21,063,Elliott County
050,21,065,Estill County
050,21,067,Fayette County
050,21,069,Fleming County
050,21,071,Floyd County
050,21,073,Franklin County
050,21,075,Fulton County
050,21,077,Gallatin County
050,21,079,Garrard County
050,21,081,Grant County
050,21,083,Graves County
050,21,085,Grayson County
050,21,087,Green County
050,21,089,Greenup County
050,21,091,Hancock County
050,21,093,Hardin County
050,21,095,Harlan County
050,21,097,Harrison County
050,21,099,Hart County
050,21,101,Henderson County
050,21,103,Henry County
050,21,105,Hickman County
050,21,107,Hopkins County
050,21,109,Jackson County
050,21,111,Jefferson County
050,21,113,Jessamine County
050,21,115,Johnson County
050,21,117,Kenton County
050,21,119,Knott County
050,21,121,Knox County
050,21,123,Larue County
050,21,125,Laurel County
050,21,127,Lawrence County
050,21,129,Lee County
050,21,131,Leslie County
050,21,133,Letcher County
050,21,135,Lewis County
050,21,137,Lincoln County
050,21,139,Livingston County
050,21,141,Logan County
050,21,143,Lyon County
050,21,145,McCracken County
050,21,147,McCreary County
050,21,149,McLean County
050,21,151,Madison County
050,21,153,Magoffin County
050,21,155,Marion County
050,21,157,Marshall County
050,21,159,Martin County
050,21,161,Mason County
050,21,163,Meade County
050,21,165,Menifee County
050,21,167,Mercer County
050,21,169,Metcalfe County
050,21,171,Monroe County
050,21,173,Montgomery County
050,21,175,Morgan County
050,21,177,Muhlenberg County
050,21,179,Nelson County
050,21,181,Nicholas County
050,21,183,Ohio County
050,21,185,Oldham County
050,21,187,Owen County
050,21,189,Owsley County
050,21,191,Pendleton County
050,21,193,Perry County
050,21,195,Pike County
050,21,197,Powell County
050,21,199,Pulaski County
050,21,201,Robertson County
050,21,203,Rockcastle County
050,21,205,Rowan County
050,21,207,Russell County
050,21,209,Scott County
050,21,211,Shelby County
050,21,213,Simpson County
050,21,215,Spencer County
050,21,217,Taylor County
050,21,219,Todd County
050,21,221,Trigg County
050,21,223,Trimble County
050,21,225,Union County
050,21,227,Warren County
050,21,229,Washington County
050,21,231,Wayne County
050,21,233,Webster County
050,21,235,Whitley County
050,21,237,Wolfe County
050,21,239,Woodford County
040,22,000,Louisiana
050,22,001,Acadia Parish
050,22,003,Allen Parish
050,22,005,Ascension Parish
050,22,007,Assumption Parish
050,22,009,Avoyelles Parish
050,22,011,Beauregard Parish
050,22,013,Bienville Parish
050,22,015,Bossier Parish
050,22,017,Caddo Parish
050,22,019,Calcasieu Parish
050,22,021,Caldwell Parish
050,22,023,Cameron Parish
050,22,025,Catahoula Parish
